school_type,goals,grade
Rural,Grades,6
Rural,Sports,6
Rural,Sports,6
Rural,Grades,6
Rural,Sports,6
Rural,Sports,6
Rural,Sports,6
Rural,Sports,6
Rural,Popular,6
Rural,Sports,6
Rural,Sports,6
Rural,Grades,6
Rural,Grades,6
Rural,Sports,6
Rural,Popular,6
Rural,Grades,6
Rural,Grades,6
Rural,Sports,6
Rural,Grades,6
Rural,Grades,6
Rural,Popular,6
Rural,Sports,6
Rural,Grades,6
Rural,Sports,6
Rural,Popular,6
Rural,Sports,6
Rural,Grades,6
Rural,Sports,6
Rural,Popular,6
Rural,Sports,6
Urban,Grades,4
Urban,Popular,4
Urban,Grades,4
Urban,Sports,4
Urban,Grades,4
Urban,Grades,4
Urban,Grades,4
Urban,Grades,4
Urban,Grades,4
Urban,Popular,4
Urban,Sports,4
Urban,Grades,4
Urban,Grades,4
Urban,Grades,4
Urban,Grades,4
Urban,Grades,4
Urban,Popular,4
Urban,Grades,4
Urban,Sports,4
Urban,Grades,4
Urban,Sports,4
Urban,Sports,4
Urban,Grades,4
Urban,Grades,4
Urban,Grades,4
Urban,Grades,4
Urban,Grades,5
Urban,Grades,5
Urban,Grades,5
Urban,Grades,5
Urban,Popular,5
Urban,Popular,5
Urban,Grades,5
Urban,Grades,5
Urban,Popular,5
Urban,Sports,5
Urban,Grades,5
Urban,Grades,5
Urban,Popular,5
Urban,Grades,5
Urban,Popular,5
Urban,Popular,5
Urban,Popular,5
Urban,Grades,5
Urban,Grades,5
Urban,Grades,5
Urban,Grades,5
Urban,Grades,5
Urban,Sports,5
Urban,Grades,5
Urban,Grades,5
Urban,Grades,5
Urban,Grades,5
Urban,Grades,5
Urban,Sports,5
Urban,Grades,5
Urban,Grades,5
Urban,Grades,5
Urban,Grades,5
Urban,Grades,5
Urban,Sports,5
Urban,Popular,5
Urban,Grades,5
Urban,Popular,5
Urban,Grades,5
Urban,Sports,5
Urban,Sports,5
Urban,Grades,5
Urban,Sports,4
Urban,Sports,4
Urban,Grades,4
Urban,Grades,4
Urban,Grades,4
Urban,Grades,4
Urban,Grades,4
Urban,Popular,4
Urban,Popular,4
Urban,Popular,4
Urban,Grades,4
Urban,Grades,5
Urban,Grades,5
Urban,Grades,5
Urban,Popular,5
Urban,Grades,5
Urban,Grades,5
Urban,Grades,5
Urban,Grades,5
Urban,Popular,5
Urban,Grades,5
Urban,Popular,5
Urban,Popular,5
Urban,Grades,5
Urban,Popular,5
Urban,Popular,5
Urban,Grades,5
Urban,Grades,5
Urban,Grades,5
Urban,Sports,5
Urban,Sports,5
Urban,Grades,5
Urban,Sports,5
Urban,Grades,5
Urban,Popular,5
Urban,Grades,5
Urban,Popular,5
Urban,Popular,5
Urban,Sports,5
Urban,Popular,5
Urban,Grades,5
Urban,Popular,5
Urban,Sports,5
Urban,Popular,5
Urban,Popular,5
Urban,Sports,4
Urban,Sports,4
Urban,Grades,4
Urban,Grades,4
Urban,Sports,4
Urban,Grades,4
Urban,Sports,4
Urban,Popular,4
Urban,Grades,4
Urban,Grades,4
Urban,Grades,4
Urban,Popular,4
Urban,Grades,4
Urban,Popular,4
Urban,Grades,4
Urban,Popular,4
Urban,Popular,6
Urban,Popular,6
Urban,Popular,6
Urban,Popular,6
Urban,Grades,6
Urban,Popular,6
Urban,Popular,6
Urban,Grades,6
Urban,Grades,6
Urban,Grades,6
Urban,Grades,6
Urban,Popular,6
Urban,Grades,6
Urban,Popular,6
Urban,Popular,6
Urban,Grades,6
Urban,Grades,6
Urban,Popular,6
Urban,Popular,6
Urban,Grades,6
Urban,Grades,6
Urban,Grades,5
Urban,Grades,6
Urban,Sports,6
Urban,Grades,6
Urban,Grades,6
Urban,Popular,6
Urban,Popular,6
Urban,Grades,6
Urban,Grades,6
Urban,Grades,6
Urban,Popular,6
Urban,Sports,6
Urban,Grades,6
Urban,Grades,6
Urban,Sports,6
Urban,Grades,6
Urban,Grades,6
Urban,Grades,6
Urban,Grades,6
Urban,Popular,6
Urban,Grades,6
Urban,Grades,6
Urban,Grades,6
Urban,Grades,6
Urban,Sports,6
Urban,Grades,6
Urban,Popular,6
Urban,Popular,6
