Carrier,FlightNo,Destination,DepartTime,Day,Month,FlightLength (min),Delay (min)
UA,679,ORD,Noon-4pm,Mon,May,160,-7
UA,681,ORD,Noon-4pm,Mon,May,160,-9
UA,683,ORD,Noon-4pm,Mon,May,163,-5
UA,685,ORD,Noon-4pm,Mon,May,160,62
UA,687,ORD,4-8pm,Mon,May,160,-11
UA,689,ORD,4-8pm,Mon,May,160,-10
UA,691,ORD,4-8pm,Mon,May,160,9
UA,693,ORD,4-8pm,Mon,May,160,21
UA,695,ORD,8-Mid,Mon,May,160,0
UA,745,DEN,Noon-4pm,Mon,May,277,-9
UA,835,ORD,8-Noon,Mon,May,160,-11
UA,847,IAD,4-8pm,Mon,May,92,-4
UA,403,DEN,4-8am,Tue,May,281,-1
UA,405,DEN,8-Noon,Tue,May,277,-6
UA,409,DEN,4-8pm,Tue,May,279,1
UA,511,ORD,8-Noon,Tue,May,158,-5
UA,667,ORD,4-8am,Tue,May,143,-7
UA,669,ORD,4-8am,Tue,May,150,-9
UA,673,ORD,8-Noon,Tue,May,158,-4
UA,679,ORD,Noon-4pm,Tue,May,160,-7
UA,681,ORD,Noon-4pm,Tue,May,160,-6
UA,683,ORD,Noon-4pm,Tue,May,163,-1
UA,685,ORD,Noon-4pm,Tue,May,160,-8
UA,689,ORD,4-8pm,Tue,May,160,-3
UA,691,ORD,4-8pm,Tue,May,160,-9
UA,693,ORD,4-8pm,Tue,May,160,-3
UA,695,ORD,8-Mid,Tue,May,160,-6
UA,745,DEN,Noon-4pm,Tue,May,277,-9
UA,835,ORD,8-Noon,Tue,May,160,-6
UA,847,IAD,4-8pm,Tue,May,92,-7
UA,403,DEN,4-8am,Wed,May,281,-5
UA,405,DEN,8-Noon,Wed,May,277,13
UA,409,DEN,4-8pm,Wed,May,279,1
UA,511,ORD,8-Noon,Wed,May,158,-7
UA,667,ORD,4-8am,Wed,May,143,-9
UA,669,ORD,4-8am,Wed,May,150,-9
UA,673,ORD,8-Noon,Wed,May,158,-8
UA,677,ORD,8-Noon,Wed,May,160,29
UA,679,ORD,Noon-4pm,Wed,May,160,-10
UA,681,ORD,Noon-4pm,Wed,May,160,-5
UA,683,ORD,Noon-4pm,Wed,May,163,-7
UA,685,ORD,Noon-4pm,Wed,May,160,0
UA,687,ORD,4-8pm,Wed,May,160,24
UA,689,ORD,4-8pm,Wed,May,160,37
UA,691,ORD,4-8pm,Wed,May,160,20
UA,693,ORD,4-8pm,Wed,May,160,28
UA,695,ORD,8-Mid,Wed,May,160,-1
UA,745,DEN,Noon-4pm,Wed,May,277,-5
UA,835,ORD,8-Noon,Wed,May,160,0
UA,847,IAD,4-8pm,Wed,May,92,9
UA,403,DEN,4-8am,Thu,May,281,-3
UA,405,DEN,8-Noon,Thu,May,277,-1
UA,409,DEN,4-8pm,Thu,May,279,7
UA,511,ORD,8-Noon,Thu,May,158,0
UA,667,ORD,4-8am,Thu,May,143,0
UA,669,ORD,4-8am,Thu,May,150,-5
UA,673,ORD,8-Noon,Thu,May,158,20
UA,677,ORD,8-Noon,Thu,May,160,-1
UA,679,ORD,Noon-4pm,Thu,May,160,45
UA,681,ORD,Noon-4pm,Thu,May,160,28
UA,683,ORD,Noon-4pm,Thu,May,163,69
UA,685,ORD,Noon-4pm,Thu,May,160,100
UA,687,ORD,4-8pm,Thu,May,160,0
UA,689,ORD,4-8pm,Thu,May,160,132
UA,691,ORD,4-8pm,Thu,May,160,83
UA,693,ORD,4-8pm,Thu,May,160,118
UA,695,ORD,8-Mid,Thu,May,160,90
UA,745,DEN,Noon-4pm,Thu,May,277,138
UA,835,ORD,8-Noon,Thu,May,160,-6
UA,847,IAD,4-8pm,Thu,May,92,85
UA,403,DEN,4-8am,Fri,May,281,2
UA,405,DEN,8-Noon,Fri,May,277,76
UA,409,DEN,4-8pm,Fri,May,279,15
UA,511,ORD,8-Noon,Fri,May,158,-4
UA,667,ORD,4-8am,Fri,May,143,-2
UA,669,ORD,4-8am,Fri,May,150,-2
UA,673,ORD,8-Noon,Fri,May,158,24
UA,677,ORD,8-Noon,Fri,May,160,17
UA,679,ORD,Noon-4pm,Fri,May,160,125
UA,681,ORD,Noon-4pm,Fri,May,160,45
UA,683,ORD,Noon-4pm,Fri,May,163,0
UA,685,ORD,Noon-4pm,Fri,May,160,83
UA,687,ORD,4-8pm,Fri,May,160,0
UA,689,ORD,4-8pm,Fri,May,160,100
UA,691,ORD,4-8pm,Fri,May,160,80
UA,693,ORD,4-8pm,Fri,May,160,91
UA,695,ORD,8-Mid,Fri,May,160,20
UA,745,DEN,Noon-4pm,Fri,May,277,63
UA,835,ORD,8-Noon,Fri,May,160,-6
UA,847,IAD,4-8pm,Fri,May,92,21
UA,403,DEN,4-8am,Sat,May,280,3
UA,405,DEN,8-Noon,Sat,May,274,0
UA,511,ORD,8-Noon,Sat,May,158,0
UA,669,ORD,4-8am,Sat,May,160,-5
UA,677,ORD,8-Noon,Sat,May,160,-2
UA,681,ORD,Noon-4pm,Sat,May,160,19
UA,683,ORD,Noon-4pm,Sat,May,151,2
UA,689,ORD,4-8pm,Sat,May,160,-3
UA,745,DEN,Noon-4pm,Sat,May,259,-1
UA,835,ORD,8-Noon,Sat,May,160,-5
UA,847,IAD,4-8pm,Sat,May,68,4
UA,403,DEN,4-8am,Sun,May,281,-1
UA,405,DEN,8-Noon,Sun,May,257,7
UA,409,DEN,4-8pm,Sun,May,279,-2
UA,511,ORD,8-Noon,Sun,May,144,-7
UA,669,ORD,4-8am,Sun,May,160,-3
UA,673,ORD,8-Noon,Sun,May,148,-4
UA,677,ORD,8-Noon,Sun,May,163,-8
UA,679,ORD,Noon-4pm,Sun,May,160,-8
UA,681,ORD,Noon-4pm,Sun,May,160,-7
UA,683,ORD,Noon-4pm,Sun,May,160,-6
UA,685,ORD,Noon-4pm,Sun,May,160,-7
UA,687,ORD,4-8pm,Sun,May,160,-9
UA,689,ORD,4-8pm,Sun,May,160,-2
UA,691,ORD,4-8pm,Sun,May,160,-10
UA,693,ORD,4-8pm,Sun,May,160,25
UA,745,DEN,Noon-4pm,Sun,May,277,-9
UA,847,IAD,4-8pm,Sun,May,92,-1
UA,403,DEN,4-8am,Mon,May,281,2
UA,405,DEN,8-Noon,Mon,May,277,-3
UA,409,DEN,4-8pm,Mon,May,279,-3
UA,511,ORD,8-Noon,Mon,May,158,-6
UA,667,ORD,4-8am,Mon,May,143,-3
UA,669,ORD,4-8am,Mon,May,150,-2
UA,673,ORD,8-Noon,Mon,May,158,-5
UA,677,ORD,8-Noon,Mon,May,160,-6
UA,679,ORD,Noon-4pm,Mon,May,160,-4
UA,681,ORD,Noon-4pm,Mon,May,160,-8
UA,683,ORD,Noon-4pm,Mon,May,163,0
UA,685,ORD,Noon-4pm,Mon,May,160,18
UA,687,ORD,4-8pm,Mon,May,160,-6
UA,689,ORD,4-8pm,Mon,May,163,14
UA,693,ORD,4-8pm,Mon,May,160,-7
UA,695,ORD,8-Mid,Mon,May,160,185
UA,745,DEN,Noon-4pm,Mon,May,277,-8
UA,835,ORD,8-Noon,Mon,May,160,0
UA,847,IAD,4-8pm,Mon,May,92,-6
UA,403,DEN,4-8am,Tue,May,281,-2
UA,405,DEN,8-Noon,Tue,May,277,-8
UA,409,DEN,4-8pm,Tue,May,279,2
UA,511,ORD,8-Noon,Tue,May,158,105
UA,667,ORD,4-8am,Tue,May,143,1
UA,669,ORD,4-8am,Tue,May,150,138
UA,673,ORD,8-Noon,Tue,May,158,-5
UA,679,ORD,Noon-4pm,Tue,May,160,-6
UA,681,ORD,Noon-4pm,Tue,May,160,-4
UA,683,ORD,Noon-4pm,Tue,May,163,-2
UA,685,ORD,Noon-4pm,Tue,May,160,-8
UA,689,ORD,4-8pm,Tue,May,160,-7
UA,691,ORD,4-8pm,Tue,May,160,-5
UA,693,ORD,4-8pm,Tue,May,160,-2
UA,695,ORD,8-Mid,Tue,May,160,5
UA,745,DEN,Noon-4pm,Tue,May,277,-4
UA,835,ORD,8-Noon,Tue,May,160,9
UA,847,IAD,4-8pm,Tue,May,92,-7
UA,403,DEN,4-8am,Wed,May,281,1
UA,405,DEN,8-Noon,Wed,May,277,-5
UA,409,DEN,4-8pm,Wed,May,279,-4
UA,511,ORD,8-Noon,Wed,May,158,-6
UA,667,ORD,4-8am,Wed,May,143,-7
UA,669,ORD,4-8am,Wed,May,150,3
UA,673,ORD,8-Noon,Wed,May,158,-11
UA,677,ORD,8-Noon,Wed,May,160,-8
UA,679,ORD,Noon-4pm,Wed,May,160,-5
UA,681,ORD,Noon-4pm,Wed,May,160,0
UA,683,ORD,Noon-4pm,Wed,May,163,-3
UA,685,ORD,Noon-4pm,Wed,May,160,-6
UA,687,ORD,4-8pm,Wed,May,160,-5
UA,689,ORD,4-8pm,Wed,May,160,-2
UA,691,ORD,4-8pm,Wed,May,160,-5
UA,693,ORD,4-8pm,Wed,May,160,-2
UA,695,ORD,8-Mid,Wed,May,160,-8
UA,745,DEN,Noon-4pm,Wed,May,277,-1
UA,835,ORD,8-Noon,Wed,May,160,-8
UA,847,IAD,4-8pm,Wed,May,92,10
UA,403,DEN,4-8am,Thu,May,281,-3
UA,405,DEN,8-Noon,Thu,May,277,-9
UA,409,DEN,4-8pm,Thu,May,279,-2
UA,511,ORD,8-Noon,Thu,May,158,14
UA,667,ORD,4-8am,Thu,May,143,-6
UA,669,ORD,4-8am,Thu,May,150,-4
UA,673,ORD,8-Noon,Thu,May,158,0
UA,677,ORD,8-Noon,Thu,May,160,-4
UA,679,ORD,Noon-4pm,Thu,May,160,-5
UA,681,ORD,Noon-4pm,Thu,May,160,4
UA,683,ORD,Noon-4pm,Thu,May,163,-7
UA,685,ORD,Noon-4pm,Thu,May,160,-8
UA,687,ORD,4-8pm,Thu,May,160,-6
UA,689,ORD,4-8pm,Thu,May,160,8
UA,691,ORD,4-8pm,Thu,May,160,-8
UA,693,ORD,4-8pm,Thu,May,160,-1
UA,695,ORD,8-Mid,Thu,May,160,-5
UA,745,DEN,Noon-4pm,Thu,May,277,-7
UA,835,ORD,8-Noon,Thu,May,160,-10
UA,847,IAD,4-8pm,Thu,May,92,17
UA,403,DEN,4-8am,Fri,May,281,0
UA,405,DEN,8-Noon,Fri,May,277,1
UA,409,DEN,4-8pm,Fri,May,279,-1
UA,511,ORD,8-Noon,Fri,May,158,0
UA,667,ORD,4-8am,Fri,May,143,-4
UA,669,ORD,4-8am,Fri,May,150,-1
UA,673,ORD,8-Noon,Fri,May,158,-7
UA,677,ORD,8-Noon,Fri,May,160,-2
UA,679,ORD,Noon-4pm,Fri,May,160,-6
UA,681,ORD,Noon-4pm,Fri,May,160,105
UA,683,ORD,Noon-4pm,Fri,May,163,0
UA,685,ORD,Noon-4pm,Fri,May,160,-4
UA,687,ORD,4-8pm,Fri,May,160,-5
UA,689,ORD,4-8pm,Fri,May,160,7
UA,691,ORD,4-8pm,Fri,May,160,0
UA,693,ORD,4-8pm,Fri,May,160,-7
UA,695,ORD,8-Mid,Fri,May,160,0
UA,745,DEN,Noon-4pm,Fri,May,277,-2
UA,835,ORD,8-Noon,Fri,May,160,-2
UA,847,IAD,4-8pm,Fri,May,92,11
UA,403,DEN,4-8am,Sat,May,280,-5
UA,405,DEN,8-Noon,Sat,May,274,5
UA,511,ORD,8-Noon,Sat,May,158,240
UA,561,ORD,Noon-4pm,Sat,May,160,-4
UA,673,ORD,8-Noon,Sat,May,160,18
UA,677,ORD,8-Noon,Sat,May,160,5
UA,681,ORD,Noon-4pm,Sat,May,160,-3
UA,683,ORD,Noon-4pm,Sat,May,151,-6
UA,689,ORD,4-8pm,Sat,May,160,-11
UA,745,DEN,Noon-4pm,Sat,May,277,-11
UA,835,ORD,4-8am,Sat,May,160,-3
UA,403,DEN,4-8am,Sun,May,284,-6
UA,405,DEN,8-Noon,Sun,May,277,-3
UA,669,ORD,4-8am,Sun,May,160,-4
UA,679,ORD,Noon-4pm,Sun,May,160,-5
UA,683,ORD,Noon-4pm,Sun,May,160,-8
UA,689,ORD,4-8pm,Sun,May,160,2
UA,745,DEN,Noon-4pm,Sun,May,277,0
UA,999,ORD,8-Noon,Sun,May,160,-2
UA,403,DEN,4-8am,Mon,May,281,-8
UA,405,DEN,8-Noon,Mon,May,274,-6
UA,409,DEN,4-8pm,Mon,May,279,64
UA,511,ORD,8-Noon,Mon,May,160,-2
UA,667,ORD,4-8am,Mon,May,143,-6
UA,669,ORD,4-8am,Mon,May,150,-4
UA,673,ORD,8-Noon,Mon,May,158,0
UA,677,ORD,8-Noon,Mon,May,158,-3
UA,679,ORD,Noon-4pm,Mon,May,160,-5
UA,681,ORD,Noon-4pm,Mon,May,160,-7
UA,683,ORD,Noon-4pm,Mon,May,163,-7
UA,685,ORD,Noon-4pm,Mon,May,160,-7
UA,687,ORD,4-8pm,Mon,May,160,-12
UA,689,ORD,4-8pm,Mon,May,160,-2
UA,691,ORD,4-8pm,Mon,May,160,-2
UA,693,ORD,4-8pm,Mon,May,160,17
UA,695,ORD,8-Mid,Mon,May,160,56
UA,745,DEN,Noon-4pm,Mon,May,277,36
UA,847,IAD,4-8pm,Mon,May,92,2
UA,403,DEN,4-8am,Tue,May,281,-5
UA,405,DEN,8-Noon,Tue,May,277,-7
UA,409,DEN,4-8pm,Tue,May,279,5
UA,511,ORD,8-Noon,Tue,May,158,0
UA,667,ORD,4-8am,Tue,May,143,-2
UA,669,ORD,4-8am,Tue,May,150,-8
UA,673,ORD,8-Noon,Tue,May,158,2
UA,677,ORD,8-Noon,Tue,May,160,-8
UA,679,ORD,Noon-4pm,Tue,May,160,-8
UA,681,ORD,Noon-4pm,Tue,May,160,3
UA,683,ORD,Noon-4pm,Tue,May,163,51
UA,685,ORD,Noon-4pm,Tue,May,160,0
UA,689,ORD,4-8pm,Tue,May,160,29
UA,691,ORD,4-8pm,Tue,May,160,1
UA,693,ORD,4-8pm,Tue,May,160,0
UA,695,ORD,8-Mid,Tue,May,160,31
UA,745,DEN,Noon-4pm,Tue,May,277,27
UA,835,ORD,8-Noon,Tue,May,160,-9
UA,847,IAD,4-8pm,Tue,May,92,22
UA,403,DEN,4-8am,Wed,May,281,-6
UA,405,DEN,8-Noon,Wed,May,277,2
UA,409,DEN,4-8pm,Wed,May,279,17
UA,511,ORD,8-Noon,Wed,May,158,-2
UA,667,ORD,4-8am,Wed,May,143,-8
UA,669,ORD,4-8am,Wed,May,150,-5
UA,673,ORD,8-Noon,Wed,May,158,53
UA,677,ORD,8-Noon,Wed,May,160,6
UA,679,ORD,Noon-4pm,Wed,May,160,36
UA,681,ORD,Noon-4pm,Wed,May,160,18
UA,683,ORD,Noon-4pm,Wed,May,163,0
UA,685,ORD,Noon-4pm,Wed,May,160,19
UA,687,ORD,4-8pm,Wed,May,160,0
UA,689,ORD,4-8pm,Wed,May,160,38
UA,691,ORD,4-8pm,Wed,May,160,0
UA,693,ORD,4-8pm,Wed,May,160,11
UA,695,ORD,8-Mid,Wed,May,160,36
UA,745,DEN,Noon-4pm,Wed,May,277,-6
UA,835,ORD,8-Noon,Wed,May,160,-8
UA,847,IAD,4-8pm,Wed,May,92,31
UA,403,DEN,4-8am,Thu,May,281,-4
UA,405,DEN,8-Noon,Thu,May,277,58
UA,409,DEN,4-8pm,Thu,May,279,59
UA,511,ORD,8-Noon,Thu,May,158,-1
UA,667,ORD,4-8am,Thu,May,143,-7
UA,669,ORD,4-8am,Thu,May,150,-5
UA,673,ORD,8-Noon,Thu,May,158,6
UA,677,ORD,8-Noon,Thu,May,160,41
UA,679,ORD,Noon-4pm,Thu,May,160,49
UA,681,ORD,Noon-4pm,Thu,May,160,105
UA,683,ORD,Noon-4pm,Thu,May,163,0
UA,685,ORD,Noon-4pm,Thu,May,160,9
UA,687,ORD,4-8pm,Thu,May,160,182
UA,689,ORD,4-8pm,Thu,May,160,142
UA,691,ORD,4-8pm,Thu,May,160,228
UA,693,ORD,4-8pm,Thu,May,160,0
UA,695,ORD,8-Mid,Thu,May,160,114
UA,745,DEN,Noon-4pm,Thu,May,277,-7
UA,835,ORD,8-Noon,Thu,May,160,-1
UA,847,IAD,4-8pm,Thu,May,92,53
UA,403,DEN,4-8am,Fri,May,281,5
UA,405,DEN,8-Noon,Fri,May,277,-2
UA,409,DEN,4-8pm,Fri,May,279,26
UA,511,ORD,8-Noon,Fri,May,158,-3
UA,667,ORD,4-8am,Fri,May,143,59
UA,669,ORD,4-8am,Fri,May,150,-4
UA,673,ORD,8-Noon,Fri,May,158,-4
UA,677,ORD,8-Noon,Fri,May,160,14
UA,679,ORD,Noon-4pm,Fri,May,160,0
UA,681,ORD,Noon-4pm,Fri,May,160,28
UA,683,ORD,Noon-4pm,Fri,May,163,104
UA,685,ORD,Noon-4pm,Fri,May,160,89
UA,687,ORD,4-8pm,Fri,May,160,99
UA,689,ORD,4-8pm,Fri,May,160,68
UA,691,ORD,4-8pm,Fri,May,160,140
UA,693,ORD,4-8pm,Fri,May,160,85
UA,695,ORD,8-Mid,Fri,May,160,54
UA,745,DEN,Noon-4pm,Fri,May,277,12
UA,835,ORD,8-Noon,Fri,May,160,-7
UA,847,IAD,4-8pm,Fri,May,92,38
UA,403,DEN,4-8am,Sat,May,280,8
UA,405,DEN,8-Noon,Sat,May,274,-3
UA,511,ORD,8-Noon,Sat,May,158,0
UA,669,ORD,4-8am,Sat,May,160,-1
UA,677,ORD,8-Noon,Sat,May,163,65
UA,681,ORD,Noon-4pm,Sat,May,160,-7
UA,683,ORD,Noon-4pm,Sat,May,148,-4
UA,689,ORD,4-8pm,Sat,May,160,-2
UA,745,DEN,Noon-4pm,Sat,May,259,-7
UA,835,ORD,8-Noon,Sat,May,160,-8
UA,847,IAD,4-8pm,Sat,May,68,-4
UA,403,DEN,4-8am,Sun,May,281,-1
UA,405,DEN,8-Noon,Sun,May,257,3
UA,409,DEN,4-8pm,Sun,May,279,19
UA,511,ORD,8-Noon,Sun,May,144,-2
UA,669,ORD,4-8am,Sun,May,160,20
UA,673,ORD,8-Noon,Sun,May,151,-3
UA,677,ORD,8-Noon,Sun,May,160,0
UA,679,ORD,Noon-4pm,Sun,May,160,-8
UA,681,ORD,Noon-4pm,Sun,May,160,-5
UA,683,ORD,Noon-4pm,Sun,May,160,-4
